context,generated_question,generated_answer
"I have been a rose Gardner for many years, I remember when this product was made by Ortho and called Rose Pride.  This product really helps with the pests and diseases that roses tend to acquire.  Though it does not stop all pests (cane borers) it stops the major ones that cause serious damage and spread disease.  I treat all my plants on the same monthly regiment and make sure to do it every four to six weeks making a note on my calendar.  Like one other reviewer said you will not see immediate results with this since it is systemic.  For the best results make sure to read the package and work the granules  into the soil and water in.",What was the name of the Rose Pride product?,rose Gardner
"If I could give this product a minus 10 stars, I would.  There is now very strong evidence that chlothianidin which is in this product is one of the pesticides that is affecting honeybees and contributing to colony collapse disorder.  This US has yet to ban this pesticide, but it has already been banned in other countries. Avoid this product and any others containing clothianidin.",What is chlothianidin in honeybees?,one of the pesticides
"There isn't much to say about this mustard other than ""Ummm Ummm Good!!!""  I tried this for the first time at a BBQ on a salmon burger and it truly brought the flavor out of the meat...now I use it on everything from chicken burgers to homemade Caesers dressing!  You'll love it!!!",What was the name of the mustard that I tried for the first time on a salmon burger?,"Ummm Ummm Good!!!"""
"Baxters soups are usually very nice, but the lobster bisque is especially good. It tastes authentic, it has a good flavour, is creamy, and has just enough lobster bits to make it interesting. Add some fresh black pepper and a dash of brandy or sherry and it rivals soup served in a very good restaurant.<br /><br />It's also surprisingly low calorie. Though the nutrition info here says 130 calories for 8oz, the label actually says 120 calories, so even if you ate the whole can for lunch you would consume only about 220 calories.",What is the nutrition info for the lobster bisque?,130 calories for 8oz
"The taste is good, but I found myself biting down on small bits of lobster shells more often than acceptable. This made me not want to finish my bowl of soup.",What made me want to finish my bowl of soup?,biting down on small bits of lobster shells
"This soup is very good tasting if you like seafood, like I do. I am finally finishing my case of cans, because it is good food. However, I do not plan on getting any more of this particular product because every can has a little something extra: bits and pieces of chitinous shell, mostly from the shrimp but also a few hard pieces now and then from the lobster. They are small pieces, which means taking small spoonfuls and not biting down hard on anything, and don't eat the last spoonful. I find six to eight pieces of this debris in each can. Like I said before, I am finishing the case, because it is food and pretty good at that. But I just don't appreciate having to be that careful with my soup.",What is the name of the soup that I am finishing?,my case of cans
"It is ok soup, but I expected more, as I love lobster bisque and tried so many different kinds in different places. This one is very watery and I could not find any lobster there. I guess it is ok for the price, but I would NEVER buy this brand of the lobster bisque again.",What is the name of the type of lobster bisque?,ok soup
Saw this soup in the supermarket and bought a can. Opened can. Heated soup. Tasted soup. Dumped soup down drain. Rinsed mouth with mouthwash. Enough said.,What was the name of the soup that was bought in the supermarket?,Heated soup
"As someone who lives and dies by seafood I've had my fair share of lobster bisque. This stuff, while not completely horrible, needs some love before it's decent. The texture isn't quite there, not thin enough to be soup but not up to bisque level either. As for the taste, it's rather bad. A little on the bland side. As a Marylander I reached for the one thing that fixes all things seafood, Old Bay. Dumped in a liberal amount and stirred while still on the heat. The Old Bay added a nice taste that made it tolerable to eat. Doubt I'll be purchasing this brand again though.",What type of seafood is Old Bay?,lobster bisque
"In Europe, you find a bowl of dark flaxseeds to the side of the muesli set out on a breakfast buffet. A great source of Omega-3 oil, you can improve your health by eating these tasty, nutty seeds. They are good for the gut and good for the heart.<br /><br />The golden seeds are an attractive alternative to the nut-brown seeds. They look nice in baked goods like lighter breads. They taste the same as the dark seeds. Ground, they don't show up in white bread, so you can bust some up in the blender and throw then into your standard bread recipe and add needed nutrients and fiber.<br /><br />We like them sprinkled on oatmeal, muesli or yogurt.",What is a good way to improve your health by eating dark flaxseeds?,Omega-3 oil
"It's best to buy flaxseeds as opposed to flaxseed oil or meal because you get more omega3. Since you are grinding the seeds yourself, the released omega 3 oils are at their freshest.<br /><br />I recommend storing these flaxseeds in the freezer. You can keep them there after you open them as well. I grind 2 tablespoons in a coffee grinder and then add it to yogurt or a protein shake. Good stuff!",What is a good thing about flaxseeds?,Good stuff
"Bob's Red Mill Organic Golden Flaxseeds are an excellent way to ingest some Omega 3.  96 ounces are delivered in 4 packs, and if you don't use it all immediately I suggest storing the seeds in the freezer to keep them fresh.  Grind them right before you use them, and they have a mild taste -- milder than brown flaxseed. I've ordered this product several times, and the quality has been consistently high.",What is a good way to ingest Omega 3 seeds?,Bob's Red Mill Organic Golden Flaxseeds
This is funny I bought the flax seed to make  a neck warmer  I made said to use Flax seed and warm in Microwave for 2 minutes.  Bought 4 bags only needed 2 so decided to make use of the rest. Grind and put over any food the benifits are great.<br />I put mine in Yogert and Cereal. Will diffently keep useing. After this last bag will be ording again.,How did I buy the flax seed?,to make  a neck warmer
"I ordered this flaxseed after reading how good ground flaxseed was for you.  I ordered a grinder, both were reasonably priced, and the grinding was so easily accomplished.  I have been using flaxseed daily since that time, and the claims made on the Internet have proven to be true.  The product arrived on time and in great shape--I have purchased from this vendor several times, and have not been disappointed.",What was the name of the flaxseed I ordered after reading how good ground flaxseed was?,a grinder
"This brand always makes good products, since you buy bulk they turn out to be quite cheaper than in the supermarket. very clean flaxseeds. I add it to my smoothies to bath my joints with some natural raw omegas, supposedly they are better if eaten sprouted, though haven't tried it.",What is the name of the brand that makes good flaxseeds?,very clean flaxseeds
"It's also a routine baking ingredient. I put it into my bread along with sunflower seeds and organic wheat flour. I also put it into my smoothie, stir fry dishes....anything you can think of! Good price and really, it's a must have for a healthy diet!",What is a must have for a healthy diet?,Good price
"This is the 2nd order i have placed for Bob's Red Mill Organic Flaxseed. It is a good quality whole flaxseed. We grind it a little at a time and sprinkle it on cereal and in yogurt. It keeps a long time in the freezer. I have been using this flaxseed for about a year now ,eating a tablespoon about every day and have noticed that my skin is softer , plus it keeps me regular, if ya know what i mean !!! Flaxseed is also a good way to get in some of the Omega 3's, that the body needs.",What is Bob's Red Mill Organic Flaxseed?,a good quality whole flaxseed
"I bought this before I realized how much I was getting and before I knew they had it at the grocery store! That was my own fault. I really should have waited. But the seeds are great, I just have way too many in my freezer!",How many seeds did I have in my freezer?,way too many
"If you like nuts and you're looking for a healthy, great tasting snack, you can't go wrong with Almond Crunch!  My husband and I recently eliminated high fructose corn syrup and partially hydrogenated soybean oil from our diet and we feel so much better.  Trying to find tasty snacks that don't contain these products is not easy so we were thrilled to find Mrs. Mays Naturals.  We love the Cashew Crunch as well!",What snack did Mrs. Mays Naturals love?,Cashew Crunch
"I'm known to be nuts for nuts, and I've tried nuts from around the world, as friends bring them back for me as gifts. Very near the top of the list of the best nut snacks is Mrs. May's Almond Crunch. From the first time I tasted it, to every time I eat it now, I am amazed at the crunchiness, quality of the almonds, lightly-sweetened glaze which is very unbrittle-like, attention to healthiness in the ingredients, etc. As a side note, because of how much I was impressed by this product, I went on a tasting spree by buying about 12 different kinds of Mrs. May's products, from the peanut and cashew crunches to the various sesame crunches, etc. Perhaps I'm biased to the original, but none of the others have that same magic. I would rate the rest as 4 stars. But the almond crunch should get 6 stars.",What is Mrs. May's Almond Crunch?,Very near the top of the list of the best nut snacks
"Love these snacks! They're a little bit sweet, loads of crunchy almonds. Am looking forward to trying the other varieties, too.",What kind of snacks are you looking forward to trying out?,other varieties
"After reading some of the frothing reviews criticizing Mrs. Mays for manufacturing their product in China -- which doesn't in any way address the quality of the product itself -- I tried to confirm this for myself. The website and packaging say nothing about this, so I wrote them an email asking where their product is manufactured. Here is the response in full:<br /><br />------------------------------------------------------------<br /><br />Thank you for your purchase and inquiry. We understand your concerns because<br />food item are very personal. If you can spear a few moments to read details<br />about our quality assurance, it would be appreciated.<br /><br />Our factory in China is HACCP (Hazard Analysis and Critical Control Point)<br />by US agency & BRC certified UK agency. HACCP, BRC & Kosher inspect our<br />factory twice a year and each organization also performs random unannounced<br />inspection at our factory.<br /><br />Please refer to the following sites if you like to learn more about the<br />HACCP and BRC certificate.<br /><br />http://www.idfahaccp.org/<br /><br />http://www.brc.org.uk/standards/default.asp?mainsection_id=7<br /><br />In addition, all of our finished products are tested 3 times.<br /><br />These tests are:<br />Salmonella testing<br />Aflotoxin testing, and<br />Microbiological testing<br /><br />Our current customers like Costco, BJ's Wholesale and Whole Foods market<br />have very high standards on what they carry and sell to its members.  You<br />can rest assure that all of our products are safe to consume. We also do not<br />have any Melamine in our product. Our products are ""dairy free"" Our products<br />are also tested randomly by FDA and always passed the inspection.<br /><br />The following is additional information:<br /><br />Here are the origins of the ingredients that we use:<br /><br />Almonds  -  California<br />Walnuts  -  California<br />Cashews  -  Vietnam / Brazil (Not grown in US)<br />Cranberries -  Oregon / Canada<br />Blueberries -  Oregon / Canada<br />Pomegranate -  Oregon / Canada<br />Natural Flavors -  California<br />Sesame Seeds  -  China (Not grown in US)<br />Rice Malt  -  China<br />Cane Juice  -  US<br />Sea Salt  -  China<br /><br />Please feel free to contact us with any further questions, comments and<br />concerns. We hope we have assisted you correctly.<br /><br />Thank you.<br /><br />Kind regards,<br /><br />Julie<br />Mrs Mays<br /><br />------------------------------------------------------------<br /><br />I've read other reviews criticizing over sweatshops, Communism, and carbon footprint. To briefly address these: There has been no evidence that Mrs. Mays keeps its workers in sweatshops; despite the Communism, I'm sure the individual citizens find these jobs valuable; and ships produce 1/10th the carbon per pound-mile of trucks, meaning a 5000 miles by ship is as bad as 500 miles by truck.<br /><br />I really like the snack and I'd give it five stars, but I'm subtracting one star: I think it is deceptive that it was so hard to find out the snack was made in China. I don't have a problem with the snack's origin, but Mrs. Mays should be more forthright with their customers and let them make the decision themselves. Granted, most of us Americans are primed to flip out at the latest Scare of the Week, but that should be our choice to make.<br /><br />Oh, and the snack itself? It is quite tasty, filling, and healthy. I will continue to purchase it.",What did Mrs. Mays's review criticize?,manufacturing their product in China
Mrs. May's should inform their customers where exactly their products are made and take a stand. I won't be buying any more of her products until further notice no matter how yummy they are. Do-no-harm and quality-control is a concept not understood in China. Totally frightening what they're getting away with.,Do-no-harm and quality-control is a concept not understood in China. Totally frightening what they're getting away with?,what they're getting away with.
"I used to like this product until I learned that it is made in China!<br /><br />How many more horror stories do we need to hear about such atrocities as lead in baby toys made in China, contaminated baby formula made in China, contaminated tooth paste made in China, and poisoned pet food before we learn that -- if it comes from China-- it should not go in your mouth, your baby's mouth, or your pet's mouth??!!!",How many horror stories do we need to hear about atrocities like lead in baby toys made in China?,How many more
"The negative reviews of Mrs Mays products just because it is made in China are not really valid, cannot base on other companies' poor quality control and apply to every company in the country!  There are many bad quality foods that are made in the USA that's bad for your health, so just because it's labeled made in USA doesn't mean it is good quality.  As long as a company takes pride in their quality control and not greed for profit only deserves good ratings and fair sales.",Why are Mrs Mays products made in China?,China are not really valid
not real crazy but this product. They did not taste good but looked real cute in the little booties I made for the baby shower tables.,What was the name of the booties I made for the baby shower tables?,little booties
"So... I usually consider pasta to be pasta to be pasta.  It's usually all the same to me.  HOWEVER... when I tried this brand of pasta, I noticed that it does taste better.  I can't describe how exactly, but it does.  I thought maybe it was my imagination (maybe knowing it's organic was influencing my judgment) but my sister commented on it when I served it for her one day.  She wanted to know where I got it - it tasted so good.  Hmmm.  So while usually there isn't much of a taste difference when it comes to noodles and pasta, for this brand there is.  It's subtle, but it's there.  When we moved from California I discovered they didn't sell it in the stores here in NY.  So I was elated when I found Amazon carries it.  Elated over a simple pasta?  Yes, that's how good it is in comparison!  Mmmmmm Mmmmm!",What was the difference between pasta and noodles?,usually there isn't much of a taste difference
"Best taste pasta. Cooks very well, slightly less time than typical mass produced pasta. Nice color and mouthfeel. Just excellent.",What type of pasta does a good pasta have?,Best taste
"I love drinking green tea.  It is delicious hot or cold, but being able to take it with me anywhere was key.  So I searched long and hard for an alternative to canned and bottled green tea which can be cumbersome, expensive and hard to come by in most parts of the US.  In the beginning, what I found was either too expensive, had sugar in it (which defeats the purpose of drinking green tea in the first place) or did not get very good reviews.  Then I found this product and quickly ordered it at the great price and free shipping.  I was pleasantly surprised.<br /><br />The product works as advertised.  It dissolves quickly in cold water making it great to carry anywhere and it tastes great too.  The instructions say to use one packet for 8 ounces of water, but actually it should be used with 16 ounces of water, otherwise it can be too bitter.<br /><br />It not only saves money, but has replaced my canned green tea completely eliminating the number of cans that I need to recycle monthly.",What was the name of the product that I was able to take with me anywhere in the US?,green tea
"The first part of this review is a history of my health problems and what green tea bottles and sugar had to do with me finding the stash teas products. If you do not want to read that part, skip down to the bottom, and there is the review of the stash teas, only.<br /><br />---------------------------------------------------------------------<br /><br />A couple of years ago I had a physical and my doctor told me that my Triglycerides were high. I was a serious soda drinker (sometimes as many as 5 cans per day, not diet), so I decided I needed to start drinking something ""healthlier."" I gravitated toward Green Tea because I like it. I averaged 2-3 1/2 liter bottles per day for 2 years (I also averaged about 1-2 cans of soda per day).<br /><br />I recently had my triglycerides checked again and instead of going down THEY DOUBLED. They were over 300 (over 150 is considered high). I about had a heart attack right there. Now, I am not an overweight person, and have had a fairly high motabolism, but I have started to create a belly (I call it a Dr. Pepper belly because that is my favorite soda. I do not drink alcohol of any kind). I am telling all of this to you because ALL of my other tests came in within normal levels, including all other aspects to my cholesterol.<br /><br />I did research and found out that if you are not overweight but have weight gain around the belly area, it might be due to consumption of a lot of sugar products. The excess sugar consumed, in this case, can be turned into trigylcerides. I looked at what I was eating and drinking to see if this was the case for me. What I found shocked me. The 1/2 liter bottles of green tea has MORE sugar in it than a can of soda. I checked several different manufacturers of green tea and I found them all to have about the same amount of sugar.<br /><br />I concluded that between my morning coffee, green tea bottles and soda, I was consuming over 1,100 grams of sugar a week ( or about 4,000 callories of sugar a week just in drinks)!!<br /><br />-------------------------------------------------------------------------<br /><br />I was looking for an alternative to the green tea bottles and found the stash tea products. I personally, do not have the time or patience to use tea bags, so I was interested in the tea powders. I ordered the lightly sweetened green tea powder and tried it. And I loved it. I then proceeded to buy the other 5 flavors of the green tea powders and love them also.<br /><br />There are 4 flavors that do not have sugar added, so I use a few drops of Stevia Glycerite to sweeten the drink. It does not take a lot.<br /><br />The best thing is that the tea powders cost about 1/2 or less than the bottled green teas I use to drink.<br /><br />---------------------------------------------------------------------<br /><br />To end on a personal note, I have altered my drinking habits and now drink 1 liter of the tea powder drink and 1+ liter of water per day. I still drink 1 can of Dr. Pepper on the weekend, but that is it. I have been doing this for a little over a month now and between my altered drinking habits and the fish oil pills, I have lost about 5 lbs. and am due to get my triglycerides checked in a couple of weeks.<br /><br />I hope this helps anyone that is in a similar situation to me and realize that just because it says its healthy does not mean it is.",What was the first part of this review?,a history of my health problems
I ordered this item because it was on sale and because of the health benefits of green tea.  I wasn't certain how good it was going to be but I was pleasantly surprised.  It tastes refreshing and fruity.  The flavor isn't overpowering or fake.  I mix the powder in a sports bottle along with cold water and splenda.  The powder dissolves easily and the drink has a nice green tea and blueberry taste.  I was so impressed that I have signed up for automatic delivery.  It's a great product.,What was the name of the item I ordered because of the health benefits of green tea?,on sale
"lots of uses for this green tea...<br /><br />I generally like most tea (though not the over-ally flowery blends)...<br /><br />Being on more of a health kick in recent years, I have added a lot more GREEN tea to my diet in one form or another...<br />from straight brewed tea &lt;> hot or iced...<br /><br />To adding the powder to things like salad dressings, smoothies, baked goods, etc.<br /><br />I am not new to green tea....as I first started drinking it when living in Japan some 30+ years ago....<br />in the ground form known as matcha.<br />A quality product. Dissolves well.<br /><br />I like both the unsweetened and the lightly sweetened.",What is the name of the green tea that I have added to my diet?,GREEN tea
"Ingredients listed: Pure cane sugar, and 100% pure powdered Japanese green tea.<br /><br />Nutrition Facts: all 0%, except Sodium (15mg) and Sugar (12g)<br /><br />Basic Instructions: add one packet to 8oz of cold water and stir or shake well to dissolve...<br /><br />My Opinion: It is too sweet for my taste, even diluted in a 16.9oz water bottle. It almost tastes like sugar water. I think the unsweetened version would be better. 5 star because it delivers what it promises.<br /><br />This is Japanese green tea. NOT Chinese green tea. There is a difference.",What is the name of the Japanese green tea?,NOT Chinese green tea
"I think this is a great green tea powder.  I add this powder to a 24oz water bottle and it has a nice light taste, I prefer it unsweeted so that I may add a sweetner if needed.  Great price for the quantity and the quality of the product.",What is a great green tea powder?,24oz water bottle
"This is a quick & easy way to make green tea. It isn't sweet & only has the barest hint of blueberry, but it makes it easy when pressed for time in the morning. It does have more green tint to it than most teas- here's why: ""Sencha green tea comes from the Kyoto region of Japan. It is made from small leaves and has a more refined taste than others forms of green tea. Additionally, the color of the tea is actually green, not yellow, like many Chinese varieties."" Powdered tea is also good for cooking as well.",What is a quick & easy way to make green tea?,It isn't sweet & only has the barest hint of blueberry
I went on a diet last year and was looking for something goos to drink and came across this tes!  now I can't find it anywhere... Hope Amazon keeps this product forever!,What was the name of the tes I went on a diet last year?,Hope Amazon
"I held off ordering these for a while because I was concerned I might not like the taste. I've tried some of the organic green teas and found flavor can really vary between brands. Six boxes seems like a lot to take a chance on. I really wanted something powdered to take to work though, so I gave it chance and it worked out.  To me, this product tastes great.  I am thrilled to get something unsweetened.  I wanted these to use at the office, but find I like them so much I mix them up at home too. I just wish they were a little cheaper as they go really fast.  I went from thinking 6 boxes would be a lot, to experiencing them as hardly enouugh!<br /><br />Basically, this product has a mild taste, never bitter or oily and not gritty (but it will need to be remixed if you don't drink it down quickly).  The powder does mix well, it's really a very fine powder and does not look like leaves just mashed up or anything.  It blends completely into the water, BUT it doesn't stay mixed over a long period of time.  So, if you are letting it sit in the glass about 20min or so as you sip away, it's useful to get one of those shaker bottles to keep it mixed as you go along.  That works for me, no complaints.  I am very happy with the product.  I will order again.",What was the name of the product that I ordered for a while because I was concerned I might not like it?,green teas
"I was looking for an alternative green or white iced tea powder after I realized that the Lipton brands all contained sucralose, and did not come in an unsweetened version.  I found Stash tea online and decided to try it, using stevia as the sweetener.  I bought the lemon ginger flavor.<br /><br />By comparison, I think the Lipton powdered iced tea I had been used to drinking was more like sweetened and colored fruity ""kool-aid"" for adults.  This is different.  I am having to get used to the green tea taste, and it upset my stomach a little (when I drink hot tea, I usually drink white tea, because I like the mild taste).<br /><br />I tried using only half to a third of the packet in 16 ounces of water and that worked better.  I would probably like white tea better, but Stash doesn't make any white tea in the iced tea powder mix.  Anyway I hope to get used to the taste.  Since right now I like it watered-down, it's really a good deal as far as price.",What did the Lipton brands all contain sucralose?,green or white iced tea powder
"What can i say, I love iced tea. I drink a lot of it, and love the convenience of these new individual serving size packets. I am also a big fan of Stash products, or rather of all the other stash products I have tried.<br />I purchased a case of all 4 varieties,  (when i say i drink iced tea, i am not kidding) and these were all way too weak when i mixed them in my 16 ounces water bottle.<br />I finally found that i needed to dissolve 2 packets in a small bit of hot water first (if not the tea clumped on me), and than add a packet of sweetener before adding the rest of the water just to make these palatable.<br />Over all I am very dissatisfied with the product and will stick with the other brands that are out on the market.",What kind of tea was iced tea?,all 4 varieties
"This product is great. I have been searching for an easy to use and non sweetened green tea. So many of the teas are sweetened with Splenda type sweeteners and I prefer to use Stevia. The Jackie Chan green tea appears to have been discontinued.<br /><br />I mix this product and love the taste. A little lemon and Stevia and I have the perfect evening iced tea. It provides all the benefits of green tea, and the instant convenience.<br /><br />I give it five stars",What is the name of the product that I use to make green tea?,Jackie Chan
"this is the best iced green tea I've ever had; the hint of blueberry is just perfect.  I add a bit of Stevia for a little more sweetness.  It would be an insult to call this ""instant tea,"" but I carry a packet in my purse because it's better than any prepared tea I could buy when eating out.  Stash tea is always good, but this is extraordinary.",What is the best iced green tea I've ever had?,the hint of blueberry
"What can i say, I love iced tea. I drink a lot of it, and love the convenience of these new individual serving size packets. I am also a big fan of Stash products, or rather of all the other stash products I have tried.<br />I purchased a case of all 4 varieties,  (when i say i drink iced tea, i am not kidding) and these were all way too weak when i mixed them in my 16 ounces water bottle.<br />I finally found that i needed to dissolve 2 packets in a small bit of hot water first (if not the tea clumped on me), and than add a packet of sweetener before adding the rest of the water just to make these palatable.<br />Over all I am very dissatisfied with the product and will stick with the other brands that are out on the market.",What kind of tea was iced tea?,all 4 varieties
"This tea has an awfully light flavor. I use this powder to make green tea lattes and green tea frappes. Very tasty. I generally shake 12 ounces cold milk, 2-3 packets of this tea powder, and 1 ounce simple syrup, then pour it over ice. Tho make the frappe, I blend the same ingredients with ice, instead of pouring it over ice. It is annoying that to make a small drink I need to use 2-3 times more than expected.",What kind of tea powder is used to make green tea lattes and green tea frappes?,Very tasty
"I've had quite a few sencha powders in my time.  The Stash product is one of the best-priced products out there.<br /><br />That said, what you get per packet is a bit on the light side for mixing with 16 oz of water.  I can barely taste the tea, and I'm pretty sensitive to tea flavors.  If you get this product, keep your mixes at 8 oz of water - otherwise, it's like you're drinking a flavorless algae.<br /><br />Otherwise, it's a good product at a good price.  At proper concentrations, the flavor is good, and you can't beat the health benefits of a good sencha/green tea.",What is one of the best sencha powders out there?,The Stash product
"I first tried these powdered green teas from Stash last summer. This spring I wanted more, but the store I got them from didn't think the vendor would be carrying any.  I was delighted to find that I could get them from Amazon. I ordered a whole bunch and look forward to having refreshing REAL FOOD drinks all summer in an easy to make form.",What was the name of the powdered green teas from Stash?,REAL FOOD
"I finally finished my box of the Blueberry Green Tea Powder and wanted to try something new!  So glad I tried this flavor as it is now my favorite!  Just add it to a cold bottle of water, drink it as is, or add a few drops of Stevia or Agave and you are good to go.  Very refreshing!!  Will be packing this on my trip to Mexico!",What flavor did the Blueberry Green Tea Powder contain?,Stevia or Agave
"lots of uses for this green tea...<br /><br />I generally like most tea (though not the over-ally flowery blends)...<br /><br />Being on more of a health kick in recent years, I have added a lot more GREEN tea to my diet in one form or another...<br />from straight brewed tea &lt;> hot or iced...<br /><br />To adding the powder to things like salad dressings, smoothies, baked goods, etc.<br /><br />I am not new to green tea....as I first started drinking it when living in Japan some 30+ years ago....<br />in the ground form known as matcha.<br />A quality product. Dissolves well.<br /><br />I like both the unsweetened and the lightly sweetened.",What is the name of the green tea that I have added to my diet?,GREEN tea
"As a long time tea drinker, was happy to come across this iced tea mix.  It serves as my sports drink while exercising or golfing.  I find this iced tea very refreshing.  I really like the flavor and especially the low sugar content.  The plain green is my favorite followed by the raspberry.  The blueberry is good too; it's unsweetened, so I add half a packet of Truvia.",What is the flavor of the iced tea mix?,low sugar content
"I really enjoy this tea because it's not to sweet and it's easy to use.  I carry it and my mug with me and just add hot or cold water, depending upon my mood.  I find that it gives me just the right kind of energy and it can even hold my hunger between meals. A real great thing because I watch my calories.  And of course, green tea is full of antioxidants.",What kind of tea is green tea full of antioxidants?,green tea
Love this product!  It adds flavor to your water without all the nasty artificial sweetners.  Hope this product is here to stay!,What is the name of the product that adds flavor to your water?,Love this product
"Powdered green tea with lemon & ginger provides quick daily source of antioxidant ingredients desired but in higher concentration and without the bother of brewing tea bags. Simply pour in water bottle, shake and be on your way.<br /><br />Product used to be available in local health food stores but is no longer carried. Much easier and more cost effective when bought in quantity on Amazon.",What does powdered green tea with lemon & ginger provide?,quick daily source of antioxidant ingredients
"The first ingredient in this mix, before the tea is even listed is maltodextrin.  If you suffer from a corn allergy, please do not forget to read the label & unwittingly drink this.  I have no idea why there is more maltodextrin in this product than the main product, the tea itself.  I realize this is not a review, let alone a ""helpful review"", as I did not describe the taste of the product or even review the product. I couldn't review this product, if I wanted too.  I want people with a corn allergy to be advised of the ingredients in the tea.  I didn't know how else to inform folks about the ingredients except for on the page with reviews.  I could not give the product more stars, as it contains more maltodextrin, than tea itself.",What is maltodextrin?,The first ingredient
"I bought this ""flavor"" and the raspberry pom and while they are consistent, it's useless.<br /><br />If you plan on making a pitcher of tea, forget it, it takes 4 packs for 64 oz and is still very, very weak in flavor, and it must be consumed in 12 hours (so they say) so you're much better off brewing your own.<br /><br />However, if you're idea is to ""stash"" this in your purse (for the ladies) or pocket (for men, which would be weird) it's still misses the mark. One packet does very little for flavor with 16 oz of water so you'd have to use two, and WHO drinks just 16 oz of water when out to eat or something of that nature? Also, with only 8 to 12 packets in a box (depends on flavor, who knows why?), that gives you 4 to 6, 16 oz drinks for $3. Not sure it's worth it at all, I'd rather drink lemon water when out than this.",How much water does a pitcher of tea have?,4 packs for 64 oz
"If you plan on making a pitcher of tea, forget it, it takes 4 packs for 64 oz and is still very, very weak in flavor, and it must be consumed in 12 hours (so they say) so you're much better off brewing your own.<br /><br />However, if you're idea is to ""stash"" this in your purse (for the ladies) or pocket (for men, which would be weird) it's still misses the mark. One packet does very little for flavor with 16 oz of water so you'd have to use two, and WHO drinks just 16 oz of water when out to eat or something of that nature? Also, with only 8 packets in a box, that gives you 4, 16 oz drinks for $3. Not sure it's worth it at all, I'd rather drink lemon water when out than this.",How much water does a pitcher of tea have?,4 packs for 64 oz
This was a big disappointment. There was no raspberry or pomegranate flavor to this. The color is green and not very appealing to look at. However it does work as a great antioxidant.,What was a big disappointment with raspberry or pomegranate flavor?,There was no raspberry or pomegranate flavor
"When I ordered this tea, I was so excited because I thought I had finally found the equal to another brand's rose tea (in individual bags). I was excited for the loose quality of the tea, along with the anticipated light delicate taste I'd hoped for.<br />I was sadly mistaken... When I excitedly opened it, I was hit by a very sweet, syrupy, cotton-candy-like smell coming from the bag. Not a good scent. Then, I thought 'the smell doesn't determine the taste' so I steeped the recommended tablespoons for the amount of time indicated and then tried a taste. The overpowering sweet smell gave was to a bitter taste, not at all reminiscent of my previous experience with rose tea. Unfortunately, I had to pour the rest of mine out.<br />I have a bag of Hibiscus tea coming in the mail soon from this company. I'm really hoping it's better!",What was the name of the tea that I ordered from Hibiscus?,rose tea
"Adzuki ( or Azuki) beans are ment to be used in asian sweets. You can make sweet bean paste by boiling the beans for 30-40 min, (changing the water out at least twice) draining and mashing the beans with sugar.(strain the paste if you do not like the bean skins)  What you get is a paste that can be put on ice cream, fill pasteries or stuff into Mochi Cakes.",How can you make a sweet bean paste?,by boiling the beans for 30-40 min
"I wanted to love this but I just didn't. Despite being sugar free it has 15 calories per pump and in my opinion needs three pumps to add enough flavor to my iced vanilla lattes. If your going for calorie count this isn't favorable. I would however say if you think other brands are a bit too sweet or if calorie count isn't overly important you should give it a go, it may be just what you were looking for! As a side note if calorie count is unimportant I recommend their coconut cream flavor<a href=""http://www.amazon.com/gp/product/B005ZU3JJ4"">Amoretti Premium Coconut Cream Syrup (750mL)</a>, its delicious!",What is the name of the brand that has a 750ml coconut cream flavor?,Amoretti Premium Coconut Cream Syrup
"We've been eating this delightful cereal for several years.  My kids always feel better on gluten free foods and so do I.  Unlike the popular junky cereals, this version of a slightly chocolately cereal is light and not too sugary and it's a special treat for the kids.  I also like supporting Envirokids products - the pricing has come down to where it's nearly the same as the other mainstream cereals that are not as good for you.",What kind of cereal does Envirokids have?,chocolately cereal
"I won't claim to be a professional food taster ... I just know what I like and don't like.  I don't like ""yellow"" popcorn, I don't like microwave popcorn, I like the ""white"" popcorn cooked in a pan.  For my ""popping style"" the Baby White pops great w/o lots of hard kernels.  'nuf said.",I don't want to be a professional food taster ... I just know what I like and don't like microwave popcorn?,what I like
This is the best popcorn i have ever ate. I use a Whirley Popper to pop my popcorn. When you eat this baby white hulless you will never go back to any other popcorn. I gave my Orville Redenbacher's  and Walmart popcorn away..To many husks. You just can't beat this popcorn. It tastes sooooo good even my puppy loves it.,What is the name of the best popcorn i have ever ate?,Whirley Popper
This is the best popcorn I have ever had.  As a kid I ran the popcorn machine in a theater so I feel I know what I'm talking about.  We used yellow popcorn but I still think white is best.,What is the name of the best popcorn I have ever had?,popcorn machine
"I just made some in my Whirley Pop.  It really is lighter and crisper than the larger, yellow kernels.  None of those large hulls either.  The only difference is, it pops up much smaller than the yellow, so you need to almost double the amount of kernels used per pot.  Lovely homemade popcorn.",What kind of popcorn did I make in my Whirley Pop?,Lovely homemade
"We've enjoyed this popcorn every bit as much if not more than the Movie Theater Popcorn.  It's light and fluffy - tender - and delicious.  I think we enjoy it a bit more because we know there is no ""palm"" oil or coconut oil in it - we can control what oils we add or leave out.  It works well with the popper - in fact just last night we had a popper full of this corn and followed it with the other because we had purchased so much of the other - we enjoyed this more.",What kind of popcorn does the Movie Theater Popcorn have?,light and fluffy - tender - and delicious
